rung,cell                   n med_total       IQR  med_conn med_appconn  med_ttfb  (ms)
B,ka100_req45              30     0.26     0.04     0.00        0.00     0.24
B,ka100_req46              30     0.25     0.04     0.00        0.00     0.24
B,ka100_req47              30     0.26     0.03     0.00        0.00     0.24
B,ka100_req48              30     0.26     0.03     0.00        0.00     0.24
B,ka100_req49              30     0.26     0.04     0.00        0.00     0.24
B,ka100_req5               30     0.27     0.03     0.00        0.00     0.26
B,ka100_req50              30     0.26     0.04     0.00        0.00     0.24
B,ka100_req51              30     0.26     0.04     0.00        0.00     0.24
B,ka100_req52              30     0.25     0.03     0.00        0.00     0.24
B,ka100_req53              30     0.25     0.05     0.00        0.00     0.23
B,ka100_req54              30     0.26     0.02     0.00        0.00     0.24
B,ka100_req55              30     0.25     0.03     0.00        0.00     0.24
B,ka100_req56              30     0.26     0.03     0.00        0.00     0.24
B,ka100_req57              30     0.27     0.03     0.00        0.00     0.24
B,ka100_req58              30     0.26     0.04     0.00        0.00     0.25
B,ka100_req59              30     0.26     0.02     0.00        0.00     0.24
B,ka100_req6               30     0.27     0.03     0.00        0.00     0.26
B,ka100_req60              30     0.26     0.04     0.00        0.00     0.23
B,ka100_req61              30     0.26     0.04     0.00        0.00     0.23
B,ka100_req62              30     0.26     0.05     0.00        0.00     0.24
B,ka100_req63              30     0.25     0.05     0.00        0.00     0.23
B,ka100_req64              30     0.27     0.04     0.00        0.00     0.25
B,ka100_req65              30     0.26     0.05     0.00        0.00     0.24
B,ka100_req66              30     0.26     0.05     0.00        0.00     0.24
B,ka100_req67              30     0.28     0.03     0.00        0.00     0.25
B,ka100_req68              30     0.27     0.05     0.00        0.00     0.23
B,ka100_req69              30     0.26     0.04     0.00        0.00     0.25
B,ka100_req7               30     0.28     0.04     0.00        0.00     0.27
B,ka100_req70              30     0.26     0.05     0.00        0.00     0.24
B,ka100_req71              30     0.26     0.05     0.00        0.00     0.24
B,ka100_req72              30     0.26     0.06     0.00        0.00     0.24
B,ka100_req73              30     0.27     0.03     0.00        0.00     0.24
B,ka100_req74              30     0.26     0.04     0.00        0.00     0.24
B,ka100_req75              30     0.26     0.04     0.00        0.00     0.24
B,ka100_req76              30     0.26     0.03     0.00        0.00     0.24
B,ka100_req77              30     0.26     0.03     0.00        0.00     0.25
B,ka100_req78              30     0.25     0.04     0.00        0.00     0.23
B,ka100_req79              30     0.25     0.03     0.00        0.00     0.24
B,ka100_req8               30     0.28     0.04     0.00        0.00     0.26
B,ka100_req80              30     0.25     0.04     0.00        0.00     0.23
B,ka100_req81              30     0.27     0.04     0.00        0.00     0.24
B,ka100_req82              30     0.26     0.04     0.00        0.00     0.24
B,ka100_req83              30     0.26     0.04     0.00        0.00     0.24
B,ka100_req84              30     0.26     0.02     0.00        0.00     0.24
B,ka100_req85              30     0.26     0.02     0.00        0.00     0.24
B,ka100_req86              30     0.26     0.03     0.00        0.00     0.25
B,ka100_req87              30     0.26     0.04     0.00        0.00     0.24
B,ka100_req88              30     0.26     0.05     0.00        0.00     0.23
B,ka100_req89              30     0.25     0.05     0.00        0.00     0.24
B,ka100_req9               30     0.29     0.04     0.00        0.00     0.26
B,ka100_req90              30     0.25     0.03     0.00        0.00     0.23
B,ka100_req91              30     0.26     0.02     0.00        0.00     0.24
B,ka100_req92              30     0.25     0.03     0.00        0.00     0.24
B,ka100_req93              30     0.26     0.03     0.00        0.00     0.23
B,ka100_req94              30     0.25     0.02     0.00        0.00     0.23
B,ka100_req95              30     0.26     0.05     0.00        0.00     0.23
B,ka100_req96              30     0.26     0.04     0.00        0.00     0.23
B,ka100_req97              30     0.26     0.04     0.00        0.00     0.23
B,ka100_req98              30     0.25     0.04     0.00        0.00     0.23
B,ka100_req99              30     0.26     0.03     0.00        0.00     0.24
B,ka10_req1                30    14.73     0.38     0.03       13.37    14.72
B,ka10_req10               30     0.30     0.03     0.00        0.00     0.28
B,ka10_req2                30     0.29     0.02     0.00        0.00     0.28
B,ka10_req3                30     0.28     0.03     0.00        0.00     0.27
B,ka10_req4                30     0.30     0.03     0.00        0.00     0.29
B,ka10_req5                30     0.31     0.04     0.00        0.00     0.30
B,ka10_req6                30     0.30     0.03     0.00        0.00     0.30
B,ka10_req7                30     0.30     0.03     0.00        0.00     0.30
B,ka10_req8                30     0.32     0.03     0.00        0.00     0.30
B,ka10_req9                30     0.30     0.03     0.00        0.00     0.29
B,ka1_req1                 30    14.50     0.43     0.03       13.32    14.48
B,req_100k                 30    14.97     0.36     0.03       13.31    13.34
B,req_10240k               30    46.09     2.60     0.06       14.05    14.08
B,req_1024k                30    18.07     0.73     0.04       13.69    13.71
B,req_1k                   30    14.64     0.24     0.03       13.20    14.62
B,resp_100k                30    15.14     0.22     0.03       13.16    14.64
B,resp_10240k              30    58.42     1.89     0.04       13.71    15.28
B,resp_1024k               30    19.15     0.43     0.03       13.37    14.89
B,resp_1k                  30    14.66     0.32     0.03       13.45    14.65
C,hdr_12k                  30    15.16     0.64     0.03       13.37    15.15
